personRank,movieTitle,director,person,IMDBRating,year,seen
5,Beyond the Valley of the Dolls,Russ Meyer,Zach Clark,6.2,1970,
6,Au hasard Balthazar,Robert Bresson,Zach Clark,7.9,1966,
7,Videodrome,David Cronenberg,Zach Clark,7.3,1983,
8,Safe,Todd Haynes,Zach Clark,7.2,1995,
9,Tout va bien,Jean-Luc Godard and Jean-Pierre Gorin,Zach Clark,6.6,1972,
10,Crumb,Terry Zwigoff,Zach Clark,8,1994,
1,Ali: Fear Eats the Soul,Rainer Werner Fassbinder,Terence Nance,8.1,1974,
2,8½,Federico Fellini,Terence Nance,8,1963,
3,Black Panthers,Agnès Varda,Terence Nance,7,1968,
4,The Double Life of Véronique,Krzysztof Kieslowski,Terence Nance,7.8,1991,
5,Days of Heaven,Terrence Malick,Terence Nance,7.9,1978,
6,Pather Panchali,Satyajit Ray,Terence Nance,8.6,1955,
6,Aparajito,Satyajit Ray,Terence Nance,8.3,1956,
6,Apur Sansar,Satyajit Ray,Terence Nance,?,?,
7,Do the Right Thing,Spike Lee,Terence Nance,7.9,1989,
8,The Last Picture Show,Peter Bogdanovich,Terence Nance,8,1971,
9,Rushmore,Wes Anderson,Terence Nance,7.7,1998,Yes
9,The Royal Tenenbaums,Wes Anderson,Terence Nance,7.6,2001,
9,The Life Aquatic with Steve Zissou,Wes Anderson,Terence Nance,7.3,2004,Yes
9,The Darjeeling Limited,Wes Anderson,Terence Nance,7.2,2007,Yes
9,Fantastic Mr. Fox,Wes Anderson,Terence Nance,7.8,2009,
9,Moonrise Kingdom,Wes Anderson,Terence Nance,7.8,2012,Yes
10,Y tu mamá también,Alfonso Cuarón,Terence Nance,7.6,2001,
1,Black Narcissus,Michael Powell and Emeric Pressburger,Amy Fine Collins,7.8,1947,
2,The Thief of Bagdad,"Ludwig Berger, Michael Powell, and Tim Whelan",Amy Fine Collins,7.5,1940,
3,Children of Paradise,Marcel Carné,Amy Fine Collins,8.4,1945,
4,La dolce vita,Federico Fellini,Amy Fine Collins,8,1960,
5,Don't Look Now,Nicolas Roeg,Amy Fine Collins,7.3,1973,
6,The Fugitive Kind,Sidney Lumet,Amy Fine Collins,7.2,1960,
7,The Innocents,Jack Clayton,Amy Fine Collins,7.8,1961,Yes
8,My Man Godfrey,Gregory La Cava,Amy Fine Collins,8,1936,
9,Peeping Tom,Michael Powell,Amy Fine Collins,7.7,1960,
10,Senso,Luchino Visconti,Amy Fine Collins,7.5,1954,
1,Contempt,Jean-Luc Godard,Young Jean Lee,7.6,1963,
2,Bicycle Thieves,Vittorio De Sica,Young Jean Lee,8.3,1948,Yes
3,Nights of Cabiria,Federico Fellini,Young Jean Lee,8.1,1957,
4,Rashomon,Akira Kurosawa,Young Jean Lee,8.2,1950,
5,"Dr. Strangelove, or: How I Learned to Stop Worrying and Love the Bomb",Stanley Kubrick,Young Jean Lee,8.4,1964,Yes
6,Le bonheur,Agnès Varda,Young Jean Lee,7.6,1965,
7,Solaris,Andrei Tarkovsky,Young Jean Lee,8.1,1972,
8,Journey of the Hyena (Touki bouki),Djibril Diop Mambéty,Young Jean Lee,7.1,1973,
9,Eraserhead,David Lynch,Young Jean Lee,7.4,1977,
10,Rosemary's Baby,Roman Polanski,Young Jean Lee,8,1968,Yes
1,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Chantal Akerman,Jenni Olson,7.8,1975,
2,God's Country,Louis Malle,Jenni Olson,7.5,1985,
3,Stranger Than Paradise,Jim Jarmusch,Jenni Olson,7.5,1984,
4,The Times of Harvey Milk,Robert Epstein,Jenni Olson,8.3,1984,
5,Brief Encounter,David Lean,Jenni Olson,8,1945,
5,Summertime,David Lean,Jenni Olson,7.2,1955,
6,My Dinner with André,Louis Malle,Jenni Olson,7.8,1981,
6,Days of Heaven,Terrence Malick,Jenni Olson,7.9,1978,
7,Sweet Smell of Success,Alexander Mackendrick,Jenni Olson,8.1,1957,
8,News from Home,Chantal Akerman,Jenni Olson,7.5,1977,
1,Wild Strawberries,Ingmar Bergman,Illeana Douglas,8.2,1957,
2,Amarcord,Federico Fellini,Illeana Douglas,7.9,1973,
3,My Life as a Dog,Lasse Hallström,Illeana Douglas,7.6,1985,
4,Harlan County USA,Barbara Kopple,Illeana Douglas,8.2,1976,
5,Vagabond,Agnès Varda,Illeana Douglas,7.7,1985,
6,Rosemary's Baby,Roman Polanski,Illeana Douglas,8,1968,Yes
7,All That Jazz,Bob Fosse,Illeana Douglas,7.9,1979,
8,Ride the Pink Horse,Robert Montgomery,Illeana Douglas,7.3,1947,
9,In a Lonely Place,Nicholas Ray,Illeana Douglas,8,1950,
10,Easy Rider,Dennis Hopper,Illeana Douglas,7.3,1969,
1,Alphaville,Jean-Luc Godard,Tunde Adebimpe,7.2,1965,
2,Beastie Boys Video Anthology,Various,Tunde Adebimpe,8.3,2000,
3,Black Orpheus,Marcel Camus,Tunde Adebimpe,7.5,1959,
4,Do the Right Thing,Spike Lee,Tunde Adebimpe,7.9,1989,
5,Eraserhead,David Lynch,Tunde Adebimpe,7.4,1977,
6,Dreams,Akira Kurosawa,Tunde Adebimpe,7.8,1990,
7,Always for Pleasure,Les Blank,Tunde Adebimpe,7.5,1978,
8,Louie Bluie,Terry Zwigoff,Tunde Adebimpe,7.7,1985,
9,Onibaba,Kaneto Shindo,Tunde Adebimpe,8,1964,
10,Journey of the Hyena (Touki bouki),Djibril Diop Mambéty,Tunde Adebimpe,7.1,1973,
1,Late Spring,Yasujiro Ozu,Andrew Ahn,8.3,1949,
2,Tokyo Story,Yasujiro Ozu,Andrew Ahn,8.2,1953,
3,A Woman Under the Influence,John Cassavetes,Andrew Ahn,8.2,1974,
4,Opening Night,John Cassavetes,Andrew Ahn,8,1977,
5,In the Mood for Love,Wong Kar-wai,Andrew Ahn,8.1,2000,
6,Days of Heaven,Terrence Malick,Andrew Ahn,7.9,1978,
7,Fish Tank,Andrea Arnold,Andrew Ahn,7.3,2009,
8,Pina,Wim Wenders,Andrew Ahn,7.7,2011,
9,Weekend,Andrew Haigh,Andrew Ahn,7.6,2011,
10,Ratcatcher,Lynne Ramsay,Andrew Ahn,7.5,1999,
1,If....,Lindsay Anderson,Douglas Hart,7.5,1968,Yes
2,Zéro de conduite (Zero for Conduct),Jean Vigo,Douglas Hart,7.3,1933,
3,The Fugitive Kind,Sidney Lumet,Douglas Hart,7.2,1960,
4,Bob Dylan: Don't Look Back,D. A. Pennebaker,Douglas Hart,8,1967,
5,Billy Liar,John Schlesinger,Douglas Hart,7.4,1963,
6,3 Women,Robert Altman,Douglas Hart,7.8,1977,
7,Kes,Ken Loach,Douglas Hart,7.9,1969,
8,L'eclisse,Michelangelo Antonioni,Douglas Hart,7.9,1962,
9,The American Friend,Wim Wenders,Douglas Hart,7.4,1977,
10,Simon of the Desert,Luis Buñuel,Douglas Hart,7.9,1965,
1,In a Lonely Place,Nicholas Ray,Megan Abbott,8,1950,
2,All That Heaven Allows,Douglas Sirk,Megan Abbott,7.6,1955,
3,The Night of the Hunter,Charles Laughton,Megan Abbott,8,1955,
4,The Palm Beach Story,Preston Sturges,Megan Abbott,7.5,1942,
5,Kiss Me Deadly,Robert Aldrich,Megan Abbott,7.6,1955,
6,Dressed to Kill,Brian De Palma,Megan Abbott,7.1,1980,
7,My Darling Clementine,John Ford,Megan Abbott,7.8,1946,
8,3 Women,Robert Altman,Megan Abbott,7.8,1977,
9,Gilda,Charles Vidor,Megan Abbott,7.7,1946,
10,The Naked Kiss,Samuel Fuller,Megan Abbott,7.3,1964,
1,Breathless,Jean-Luc Godard,Duncan Hannah,7.9,1960,
2,The Soft Skin,François Truffaut,Duncan Hannah,7.5,1964,
3,"Lacombe, Lucien",Louis Malle,Duncan Hannah,7.7,1974,
4,The Spirit of the Beehive,Víctor Erice,Duncan Hannah,7.9,1973,
5,Belle de jour,Luis Buñuel,Duncan Hannah,7.7,1967,
6,I Knew Her Well,Antonio Pietrangeli,Duncan Hannah,7.7,1965,
7,The 39 Steps,Alfred Hitchcock,Duncan Hannah,7.7,1935,Yes
8,Charade,Stanley Donen,Duncan Hannah,7.9,1963,
9,Bob le flambeur,Jean-Pierre Melville,Duncan Hannah,7.7,1956,
10,Overlord,Stuart Cooper,Duncan Hannah,7.1,1975,
10,L'eclisse,Michelangelo Antonioni,Duncan Hannah,7.9,1962,
1,Cronos,Guillermo del Toro,Mogwai,6.7,1993,
2,Bob Dylan: Don't Look Back,D. A. Pennebaker,Mogwai,8,1967,
3,Fantastic Planet,René Laloux,Mogwai,7.8,1973,
4,Hunger,Steve McQueen,Mogwai,7.6,2008,
5,Kiss Me Deadly,Robert Aldrich,Mogwai,7.6,1955,
6,The Night of the Hunter,Charles Laughton,Mogwai,8,1955,
7,RoboCop,Paul Verhoeven,Mogwai,7.5,1987,
8,Rosemary's Baby,Roman Polanski,Mogwai,8,1968,Yes
9,Throne of Blood,Akira Kurosawa,Mogwai,8.1,1957,
10,Watership Down,Martin Rosen,Mogwai,7.6,1978,
1,The Rules of the Game,Jean Renoir,Alan Arkin,8.1,1939,
2,La dolce vita,Federico Fellini,Alan Arkin,8,1960,
3,Seven Samurai,Akira Kurosawa,Alan Arkin,8.6,1954,
4,Gomorrah,Matteo Garrone,Alan Arkin,7,2008,
5,The Night of the Hunter,Charles Laughton,Alan Arkin,8,1955,
6,The Wages of Fear,Henri-Georges Clouzot,Alan Arkin,8.1,1953,Yes
7,The Horse's Mouth,Ronald Neame,Alan Arkin,7.1,1958,
8,Grand Illusion,Jean Renoir,Alan Arkin,8.1,1937,
9,The Great Dictator,Charles Chaplin,Alan Arkin,8.5,1940,
10,Sullivan's Travels,Preston Sturges,Alan Arkin,8,1941,
1,Last Year at Marienbad,Alain Resnais,Anna Sui,7.8,1961,
2,Dillinger Is Dead,Marco Ferreri,Anna Sui,7.1,1969,
3,Lola Montès,Max Ophuls,Anna Sui,7.3,1955,
4,Band of Outsiders,Jean-Luc Godard,Anna Sui,7.8,1964,
5,L'Atalante,Jean Vigo,Anna Sui,7.8,1934,
6,Grand Illusion,Jean Renoir,Anna Sui,8.1,1937,
7,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Anna Sui,7.9,1970,
8,The Man Who Fell to Earth,Nicolas Roeg,Anna Sui,6.7,1976,
9,The Earrings of Madame de . . .,Max Ophuls,Anna Sui,8,1953,
10,Juliet of the Spirits,Federico Fellini,Anna Sui,7.6,1965,
1,Kiss Me Deadly,Robert Aldrich,Richard Hell,7.6,1955,
2,Au hasard Balthazar,Robert Bresson,Richard Hell,7.9,1966,
3,The Brood,David Cronenberg,Richard Hell,6.8,1979,
4,Pickup on South Street,Samuel Fuller,Richard Hell,7.7,1953,
5,Band of Outsiders,Jean-Luc Godard,Richard Hell,7.8,1964,
6,Shoah,Claude Lanzmann,Richard Hell,8.6,1985,
7,Naked,Mike Leigh,Richard Hell,7.8,1993,
8,Sweet Smell of Success,Alexander Mackendrick,Richard Hell,8.1,1957,
9,"Léon Morin, Priest",Jean-Pierre Melville,Richard Hell,7.7,1961,
10,Journey to Italy,Roberto Rossellini,Richard Hell,7.4,1954,
1,Equinox Flower,Yasujiro Ozu,Aaron Katz,7.9,1958,
2,Fanny and Alexander: Television Version,Ingmar Bergman,Aaron Katz,9.1,1983,
3,The Last Days of Disco,Whit Stillman,Aaron Katz,6.7,1998,
4,Three Colors: Blue,Krzysztof Kieslowski,Aaron Katz,7.9,1993,
5,Monsieur Hulot's Holiday,Jacques Tati,Aaron Katz,7.5,1953,
6,Le samouraï,Jean-Pierre Melville,Aaron Katz,8.1,1967,
7,News from Home,Chantal Akerman,Aaron Katz,7.5,1977,
8,The Bank Dick,Edward Cline,Aaron Katz,7.2,1940,
9,The Killer,John Woo,Aaron Katz,7.8,1989,
10,Summertime,David Lean,Aaron Katz,7.2,1955,
1,Contempt,Jean-Luc Godard,Bret Easton Ellis,7.6,1963,
2,Days of Heaven,Terrence Malick,Bret Easton Ellis,7.9,1978,
3,Don't Look Now,Nicolas Roeg,Bret Easton Ellis,7.3,1973,
4,L'eclisse,Michelangelo Antonioni,Bret Easton Ellis,7.9,1962,
5,The Kid with a Bike,Jean-Pierre Dardenne and Luc Dardenne,Bret Easton Ellis,7.4,2011,
6,The Last Picture Show,Peter Bogdanovich,Bret Easton Ellis,8,1971,
7,Mulholland Dr.,David Lynch,Bret Easton Ellis,7.9,2001,Yes
8,Nashville,Robert Altman,Bret Easton Ellis,7.7,1975,
9,Rosemary's Baby,Roman Polanski,Bret Easton Ellis,8,1968,Yes
10,The Silence of the Lambs,Jonathan Demme,Bret Easton Ellis,8.6,1991,Yes
1,All That Jazz,Bob Fosse,Julia Cafritz,7.9,1979,
2,Secret Honor,Robert Altman,Julia Cafritz,7.3,1984,
2,Tanner '88,Robert Altman,Julia Cafritz,7.9,1988,
2,Medium Cool,Haskell Wexler,Julia Cafritz,7.3,1969,
3,Safe,Todd Haynes,Julia Cafritz,7.2,1995,
3,Brazil,Terry Gilliam,Julia Cafritz,7.9,1985,
4,Picnic at Hanging Rock,Peter Weir,Julia Cafritz,7.5,1975,
5,Downhill Racer,Michael Ritchie,Julia Cafritz,6.4,1969,
6,Nanook of the North,Robert Flaherty,Julia Cafritz,7.6,1922,
7,A Hard Day's Night,Richard Lester,Julia Cafritz,7.6,1964,
8,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Julia Cafritz,7.9,1970,
9,Bob Dylan: Don't Look Back,D. A. Pennebaker,Julia Cafritz,8,1967,
10,Quadrophenia,Franc Roddam,Julia Cafritz,7.3,1979,
1,Pather Panchali,Satyajit Ray,Meg Baird,8.6,1955,
1,Aparajito,Satyajit Ray,Meg Baird,8.3,1956,
1,Apur Sansar,Satyajit Ray,Meg Baird,?,?,
2,Picnic at Hanging Rock,Peter Weir,Meg Baird,7.5,1975,
3,Fishing with John,John Lurie,Meg Baird,8.1,1991,
4,Dazed and Confused,Richard Linklater,Meg Baird,7.6,1993,
5,Monterey Pop,D. A. Pennebaker,Meg Baird,8,1968,
5,Gimme Shelter,"David Maysles, Albert Maysles, and Charlotte Zwerin",Meg Baird,7.9,1970,
6,Days of Heaven,Terrence Malick,Meg Baird,7.9,1978,
7,Alexander Nevsky,Sergei Eisenstein,Meg Baird,7.6,1938,
8,Chungking Express,Wong Kar-wai,Meg Baird,8.1,1994,
9,Rebecca,Alfred Hitchcock,Meg Baird,8.1,1940,
9,L'avventura,Michelangelo Antonioni,Meg Baird,7.9,1960,
10,A Room with a View,James Ivory,Meg Baird,7.3,1985,
11,La promesse,Luc Dardenne and Jean-Pierre Dardenne,Meg Baird,7.8,1996,
1,Three Colors: Blue,Krzysztof Kieslowski,Paul Schneider,7.9,1993,
1,Three Colors: Red,Krzysztof Kieslowski,Paul Schneider,8.1,1994,
1,Three Colors: White,Krzysztof Kieslowski,Paul Schneider,7.7,1994,
2,A Christmas Tale,Arnaud Desplechin,Paul Schneider,7,2008,
3,The Thin Blue Line,Errol Morris,Paul Schneider,7.5,1995,
4,The Night of the Hunter,Charles Laughton,Paul Schneider,8,1955,
5,Harlan County USA,Barbara Kopple,Paul Schneider,8.2,1976,
6,The Silence of the Lambs,Jonathan Demme,Paul Schneider,8.6,1991,Yes
7,In the Mood for Love,Wong Kar-wai,Paul Schneider,8.1,2000,
8,Tokyo Olympiad,Kon Ichikawa,Paul Schneider,7.8,1965,
9,Dead Ringers,David Cronenberg,Paul Schneider,7.3,1988,
10,The Black Stallion,Carroll Ballard,Paul Schneider,7.3,1979,
11,George Washington,David Gordon Green,Paul Schneider,7.4,2000,
1,The Red Shoes,Michael Powell and Emeric Pressburger,Laura Mulvey,8.2,1948,
2,Written on the Wind,Douglas Sirk,Laura Mulvey,7.4,1956,
3,Breathless,Jean-Luc Godard,Laura Mulvey,7.9,1960,
3,Vivre sa vie,Jean-Luc Godard,Laura Mulvey,8,1962,
3,Pierrot le fou,Jean-Luc Godard,Laura Mulvey,7.6,1965,
4,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Chantal Akerman,Laura Mulvey,7.8,1975,
5,Journey of the Hyena (Touki bouki),Djibril Diop Mambéty,Laura Mulvey,7.1,1973,
6,People on Sunday,Robert Siodmak and Edgar G. Ulmer,Laura Mulvey,7.4,1930,
7,Close-up,Abbas Kiarostami,Laura Mulvey,8.3,1990,
8,Journey to Italy,Roberto Rossellini,Laura Mulvey,7.4,1954,
8,The Earrings of Madame de . . .,Max Ophuls,Laura Mulvey,8,1953,
1,Brazil,Terry Gilliam,Reggie Watts,7.9,1985,
2,Breathless,Jean-Luc Godard,Reggie Watts,7.9,1960,
3,PlayTime,Jacques Tati,Reggie Watts,7.9,1967,
4,Dazed and Confused,Richard Linklater,Reggie Watts,7.6,1993,
5,Dead Ringers,David Cronenberg,Reggie Watts,7.3,1988,
6,Fantastic Mr. Fox,Wes Anderson,Reggie Watts,7.8,2009,
7,The Great Dictator,Charles Chaplin,Reggie Watts,8.5,1940,
8,The Ice Storm,Ang Lee,Reggie Watts,7.4,1997,
9,"It's a Mad, Mad, Mad, Mad World",Stanley Kramer,Reggie Watts,7.5,1963,Yes
10,Slacker,Richard Linklater,Reggie Watts,7.1,1990,
1,Mulholland Dr.,David Lynch,Ana Lily Amirpour,7.9,2001,Yes
2,The Fisher King,Terry Gilliam,Ana Lily Amirpour,7.5,1991,
3,Au hasard Balthazar,Robert Bresson,Ana Lily Amirpour,7.9,1966,
4,Antichrist,Lars von Trier,Ana Lily Amirpour,6.6,2009,Yes
5,Dazed and Confused,Richard Linklater,Ana Lily Amirpour,7.6,1993,
6,Being John Malkovich,Spike Jonze,Ana Lily Amirpour,7.7,1999,
7,Fantastic Mr. Fox,Wes Anderson,Ana Lily Amirpour,7.8,2009,
8,Repulsion,Roman Polanski,Ana Lily Amirpour,7.7,1965,
9,Repo Man,Alex Cox,Ana Lily Amirpour,6.9,1984,
10,And God Created Woman,Roger Vadim,Ana Lily Amirpour,6.3,1956,
1,The Last Command,Josef von Sternberg,Matthew Weiner,8,1928,
2,Bitter Rice,Giuseppe De Santis,Matthew Weiner,7.7,1949,
3,Ugetsu,Kenji Mizoguchi,Matthew Weiner,8.3,1953,
4,Apur Sansar,Satyajit Ray,Matthew Weiner,?,?,
5,Belle de jour,Luis Buñuel,Matthew Weiner,7.7,1967,
6,The Last Picture Show,Peter Bogdanovich,Matthew Weiner,8,1971,
7,Wings of Desire,Wim Wenders,Matthew Weiner,8,1987,
8,The Thin Blue Line,Errol Morris,Matthew Weiner,7.5,1995,
9,Monty Python's Life of Brian,Terry Jones,Matthew Weiner,8.1,1979,
10,The Young Girls of Rochefort,Jacques Demy,Matthew Weiner,7.6,1967,
10,All That Jazz,Bob Fosse,Matthew Weiner,7.9,1979,
1,The Music Room,Satyajit Ray,Bruce Beresford,8,1958,
2,The Passion of Joan of Arc,Carl Th. Dreyer,Bruce Beresford,8.1,1928,
3,Miss Julie,Alf Sjöberg,Bruce Beresford,7.3,1951,
4,Odd Man Out,Carol Reed,Bruce Beresford,7.7,1947,
5,The Story of a Cheat,Sacha Guitry,Bruce Beresford,7.6,1936,
6,My Darling Clementine,John Ford,Bruce Beresford,7.8,1946,
7,Rome Open City,Roberto Rossellini,Bruce Beresford,8.1,1945,
8,Hobson's Choice,David Lean,Bruce Beresford,7.7,1954,
9,L'avventura,Michelangelo Antonioni,Bruce Beresford,7.9,1960,
10,Fanny and Alexander: Television Version,Ingmar Bergman,Bruce Beresford,9.1,1983,
1,Paths of Glory,Stanley Kubrick,Keith Gordon,8.4,1957,
2,The Man Who Fell to Earth,Nicolas Roeg,Keith Gordon,6.7,1976,
2,Don't Look Now,Nicolas Roeg,Keith Gordon,7.3,1973,
2,Walkabout,Nicolas Roeg,Keith Gordon,7.6,1971,
3,Brazil,Terry Gilliam,Keith Gordon,7.9,1985,
3,Time Bandits,Terry Gilliam,Keith Gordon,7,1981,
4,Badlands,Terrence Malick,Keith Gordon,7.8,1973,
4,Days of Heaven,Terrence Malick,Keith Gordon,7.9,1978,
5,Harold and Maude,Hal Ashby,Keith Gordon,7.9,1971,
6,Seconds,John Frankenheimer,Keith Gordon,7.7,1966,
7,The Ruling Class,Peter Medak,Keith Gordon,7.5,1972,
8,The Wages of Fear,Henri-Georges Clouzot,Keith Gordon,8.1,1953,Yes
9,Umberto D.,Vittorio De Sica,Keith Gordon,8.2,1952,
10,Berlin Alexanderplatz,Rainer Werner Fassbinder,Keith Gordon,8.6,1980,
1,Paths of Glory,Stanley Kubrick,Troy Miller,8.4,1957,
2,Seconds,John Frankenheimer,Troy Miller,7.7,1966,
3,The Killers,Don Siegel,Troy Miller,7.1,1964,
4,Faces,John Cassavetes,Troy Miller,7.7,1968,
5,Seven Samurai,Akira Kurosawa,Troy Miller,8.6,1954,
6,This Is Spinal Tap,Rob Reiner,Troy Miller,7.9,1984,
7,The Bank Dick,Edward Cline,Troy Miller,7.2,1940,
8,"It's a Mad, Mad, Mad, Mad World",Stanley Kramer,Troy Miller,7.5,1963,Yes
9,Traffic,Steven Soderbergh,Troy Miller,7.6,2000,
10,Repo Man,Alex Cox,Troy Miller,6.9,1984,
1,Shadows,John Cassavetes,Sean Baker,7.3,1958,
1,Faces,John Cassavetes,Sean Baker,7.7,1968,
1,A Woman Under the Influence,John Cassavetes,Sean Baker,8.2,1974,
1,The Killing of a Chinese Bookie,John Cassavetes,Sean Baker,7.4,1976,
1,Opening Night,John Cassavetes,Sean Baker,8,1977,
1,A Constant Forge,Charles Kiselyak,Sean Baker,7.4,2000,
2,Naked,Mike Leigh,Sean Baker,7.8,1993,
3,À nos amours,Maurice Pialat,Sean Baker,7.3,1983,
4,The Bakery Girl of Monceau,Eric Rohmer,Sean Baker,7.4,1963,
4,Suzanne's Career,Eric Rohmer,Sean Baker,7.1,1963,
4,My Night at Maud's,Eric Rohmer,Sean Baker,8,1969,
4,La collectionneuse,Eric Rohmer,Sean Baker,7.5,1967,
4,Claire's Knee,Eric Rohmer,Sean Baker,7.7,1970,
4,Chloe in the Afternoon,Eric Rohmer,Sean Baker,7.7,1972,
5,Secret Sunshine,Lee Chang-dong,Sean Baker,7.5,2007,
6,Harold and Maude,Hal Ashby,Sean Baker,7.9,1971,
7,RoboCop,Paul Verhoeven,Sean Baker,7.5,1987,
8,Scenes from a Marriage,Ingmar Bergman,Sean Baker,8.5,1974,
9,Rosetta,Luc Dardenne and Jean-Pierre Dardenne,Sean Baker,7.5,1999,
10,Breaking the Waves,Lars von Trier,Sean Baker,7.9,1996,
1,Andrei Rublev,Andrei Tarkovsky,Annie Baker,8.2,1966,
2,Fanny and Alexander: Theatrical Version,Ingmar Bergman,Annie Baker,8.1,1982,
3,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",Chantal Akerman,Annie Baker,7.8,1975,
4,La collectionneuse,Eric Rohmer,Annie Baker,7.5,1967,
5,I vitelloni,Federico Fellini,Annie Baker,7.9,1953,
6,Diary of a Country Priest,Robert Bresson,Annie Baker,8,1951,
7,The Tales of Hoffmann,Michael Powell and Emeric Pressburger,Annie Baker,7.3,1951,
8,Pierrot le fou,Jean-Luc Godard,Annie Baker,7.6,1965,
9,Vanya on 42nd Street,Louis Malle,Annie Baker,7.4,1994,
10,A Room with a View,James Ivory,Annie Baker,7.3,1985,
10,Documenteur,Agnès Varda,Annie Baker,7.1,1981,
1,Jules and Jim,François Truffaut,André Gregory and Wallace Shawn,7.8,1962,
2,Cries and Whispers,Ingmar Bergman,André Gregory and Wallace Shawn,8.1,1972,
3,Murmur of the Heart,Louis Malle,André Gregory and Wallace Shawn,7.7,1971,
3,Something Wild,Jonathan Demme,André Gregory and Wallace Shawn,6.9,1986,
4,Army of Shadows,Jean-Pierre Melville,André Gregory and Wallace Shawn,8.2,1969,
5,Brief Encounter,David Lean,André Gregory and Wallace Shawn,8,1945,
6,Topsy-Turvy,Mike Leigh,André Gregory and Wallace Shawn,7.3,1999,
7,Secret Sunshine,Lee Chang-dong,André Gregory and Wallace Shawn,7.5,2007,
8,The Long Day Closes,Terence Davies,André Gregory and Wallace Shawn,7.4,1992,
9,The Rules of the Game,Jean Renoir,André Gregory and Wallace Shawn,8.1,1939,
10,The Bakery Girl of Monceau,Eric Rohmer,André Gregory and Wallace Shawn,7.4,1963,
10,Suzanne's Career,Eric Rohmer,André Gregory and Wallace Shawn,7.1,1963,
10,La collectionneuse,Eric Rohmer,André Gregory and Wallace Shawn,7.5,1967,
10,My Night at Maud's,Eric Rohmer,André Gregory and Wallace Shawn,8,1969,
10,Claire's Knee,Eric Rohmer,André Gregory and Wallace Shawn,7.7,1970,
10,Chloe in the Afternoon,Eric Rohmer,André Gregory and Wallace Shawn,7.7,1972,
10,Andrei Rublev,Andrei Tarkovsky,André Gregory and Wallace Shawn,8.2,1966,
1,Bicycle Thieves,Vittorio De Sica,Josh and Benny Safdie,8.3,1948,Yes
2,Shadows,John Cassavetes,Josh and Benny Safdie,7.3,1958,
2,Faces,John Cassavetes,Josh and Benny Safdie,7.7,1968,
2,A Woman Under the Influence,John Cassavetes,Josh and Benny Safdie,8.2,1974,
2,The Killing of a Chinese Bookie,John Cassavetes,Josh and Benny Safdie,7.4,1976,
2,Opening Night,John Cassavetes,Josh and Benny Safdie,8,1977,
3,Close-up,Abbas Kiarostami,Josh and Benny Safdie,8.3,1990,
3,The Moment of Truth,Francesco Rosi,Josh and Benny Safdie,7.3,1965,
4,The 400 Blows,François Truffaut,Josh and Benny Safdie,8.1,1959,
5,Fishing with John,John Lurie,Josh and Benny Safdie,8.1,1991,
5,Monsieur Hulot's Holiday,Jacques Tati,Josh and Benny Safdie,7.5,1953,
6,A Man Escaped,Robert Bresson,Josh and Benny Safdie,8.3,1956,
7,Crumb,Terry Zwigoff,Josh and Benny Safdie,8,1994,
8,Nashville,Robert Altman,Josh and Benny Safdie,7.7,1975,
9,Hoop Dreams,Steve James,Josh and Benny Safdie,8.3,1994,
10,Macbeth,Roman Polanski,Josh and Benny Safdie,7.4,1971,
1,The Leopard,Luchino Visconti,Olivier Assayas,8,1963,
2,Pickpocket,Robert Bresson,Olivier Assayas,7.7,1959,
2,Andrei Rublev,Andrei Tarkovsky,Olivier Assayas,8.2,1966,
3,White Material,Claire Denis,Olivier Assayas,6.9,2009,
3,A Christmas Tale,Arnaud Desplechin,Olivier Assayas,7,2008,
3,Chungking Express,Wong Kar-wai,Olivier Assayas,8.1,1994,
3,Dazed and Confused,Richard Linklater,Olivier Assayas,7.6,1993,
3,Frances Ha,Noah Baumbach,Olivier Assayas,7.4,2012,Yes
3,Moonrise Kingdom,Wes Anderson,Olivier Assayas,7.8,2012,Yes
3,Yi Yi,Edward Yang,Olivier Assayas,8.1,2000,
4,Nashville,Robert Altman,Olivier Assayas,7.7,1975,
5,Heaven's Gate,Michael Cimino,Olivier Assayas,6.8,1980,
6,Videodrome,David Cronenberg,Olivier Assayas,7.3,1983,
7,Che: Part One,Steven Soderbergh,Olivier Assayas,7.2,2008,
8,La dolce vita,Federico Fellini,Olivier Assayas,8,1960,
8,Army of Shadows,Jean-Pierre Melville,Olivier Assayas,8.2,1969,
9,Fanny and Alexander: Television Version,Ingmar Bergman,Olivier Assayas,9.1,1983,
9,Topsy-Turvy,Mike Leigh,Olivier Assayas,7.3,1999,
10,Désiré,Sacha Guitry,Olivier Assayas,7.1,1937,
10,Judex,Georges Franju,Olivier Assayas,7.2,1963,
11,Rififi,Jules Dassin,Olivier Assayas,8.2,1955,
11,Thief,Michael Mann,Olivier Assayas,7.4,1981,
1,The Decameron,Pier Paolo Pasolini,Mark Cousins,7.1,1971,
1,The Canterbury Tales,Pier Paolo Pasolini,Mark Cousins,6.5,1972,
1,Arabian Nights,Pier Paolo Pasolini,Mark Cousins,6.8,1974,
